player_name,club,age,position,minutes,goals,assists,contract_expires_year,market_value_million_eur
Marc-André ter Stegen,Barcelona,25.0,GK,3330.0,0.0,0.0,,60.0
Mattia Caldara,Atalanta,23.0,DF,2160.0,3.0,1.0,,25.0
David Luiz,Chelsea,30.0,"DF,MF",840.0,1.0,0.0,,25.0
Aleix Vidal,Barcelona,27.0,"MF,FW",468.0,1.0,1.0,,7.5
Harry Maguire,Leicester City,24.0,DF,3420.0,2.0,4.0,,25.0
Juan Bernat,Bayern Munich,24.0,"DF,FW",888.0,0.0,2.0,,12.0
Victor Lindelöf,Manchester Utd,23.0,DF,1285.0,0.0,0.0,,25.0
Kingsley Coman,Bayern Munich,21.0,"FW,MF",1153.0,3.0,3.0,,50.0
Niklas Dorsch,Bayern Munich,19.0,MF,90.0,1.0,0.0,,0.04
Franck Evina,Bayern Munich,17.0,FW,110.0,0.0,0.0,,0.01
Matthias Ginter,M'Gladbach,23.0,DF,3060.0,5.0,2.0,,25.0
Clément Lenglet,Sevilla,22.0,DF,3000.0,3.0,1.0,,25.0
Joshua Kimmich,Bayern Munich,22.0,DF,2329.0,1.0,10.0,,55.0
Robert Lewandowski,Bayern Munich,28.0,FW,2172.0,29.0,2.0,,90.0
Medhi Benatia,Juventus,30.0,DF,1755.0,2.0,0.0,,23.0
Javi Martínez,Bayern Munich,28.0,"MF,DF",1609.0,1.0,2.0,,40.0
Thomas Müller,Bayern Munich,27.0,"FW,MF",2005.0,8.0,14.0,,60.0
Manuel Neuer,Bayern Munich,31.0,GK,270.0,0.0,0.0,,35.0
Kwasi Okyere Wriedt,Bayern Munich,23.0,MF,23.0,0.0,0.0,,0.06
Geoffrey Kondogbia,Valencia,24.0,MF,2614.0,4.0,3.0,,30.0
Franck Ribéry,Bayern Munich,34.0,"FW,MF",1203.0,5.0,1.0,,4.0
Arjen Robben,Bayern Munich,33.0,"FW,MF",1507.0,5.0,5.0,,7.0
James Rodríguez,Bayern Munich,26.0,MF,1621.0,7.0,11.0,,70.0
Sebastian Rudy,Bayern Munich,27.0,MF,1515.0,1.0,4.0,,15.0
Tom Starke,Bayern Munich,36.0,GK,180.0,0.0,0.0,,0.01
Manuel Akanji,Dortmund,22.0,DF,904.0,0.0,0.0,,22.0
Carlos Soler,Valencia,20.0,"MF,FW",2357.0,1.0,4.0,,30.0
Sven Ulreich,Bayern Munich,28.0,GK,2610.0,0.0,0.0,,6.0
Rafinha,Bayern Munich,31.0,DF,1851.0,1.0,2.0,,28.0
Sandro Wagner,Bayern Munich,29.0,FW,726.0,8.0,2.0,,12.0
Daniele Rugani,Juventus,23.0,DF,1935.0,2.0,1.0,,22.0
Samuel Armenteros,Benevento,27.0,FW,429.0,1.0,0.0,,1.5
Vid Belec,Benevento,27.0,GK,1113.0,0.0,0.0,,1.7
Joe Gomez,Liverpool,20.0,DF,1902.0,0.0,2.0,,22.0
Enrico Brignola,Benevento,18.0,"FW,MF",1347.0,3.0,2.0,,2.5
Alberto Brignoli,Benevento,25.0,GK,1126.0,1.0,0.0,,1.0
Rafinha,Inter,24.0,"MF,FW",1043.0,2.0,2.0,,28.0
Fabio Ceravolo,Benevento,30.0,FW,57.0,0.0,0.0,,2.0
Lorenzo Pellegrini,Roma,21.0,MF,1797.0,3.0,2.0,,28.0
Amato Ciciretti,Benevento,23.0,"MF,FW",807.0,2.0,1.0,,2.5
Karamoko Cissé,Benevento,28.0,"FW,DF",14.0,0.0,0.0,,0.07
Massimo Coda,Benevento,28.0,FW,1417.0,4.0,1.0,,1.4
Issa Diop,Toulouse,20.0,DF,3060.0,3.0,0.0,,22.0
